H	355_Anlg	353_Anlg	460_Anlg	532_Anlg	530_Anlg	355_Anlg_Molec	532_Anlg_Molec		MolecExt355_Anlg	MolecBack355_Anlg	MolecExt353_Anlg	MolecBack353_Anlg	MolecExt460_Anlg	MolecBack460_Anlg	MolecExt532_Anlg	MolecBack532_Anlg	MolecExt530_Anlg	MolecBack530_Anlg
6611.25	0.0086709845	0.0018408258	3.5886522E-5	0.005716984	0.0014906623	0.0086354421	0.0055128824		4.9267198E-5	5.7999296E-6	5.0449991E-5	5.9391726E-6	1.6805519E-5	1.9784122E-6	9.2621003E-6	1.0903711E-6	9.4056487E-6	1.1072702E-6
6615	0.0089457257	0.0019244994	0.00010100446	0.0056915331	0.0016659696	0.0086208389	0.005505211		4.9257891E-5	5.7988339E-6	5.044046E-5	5.9380506E-6	1.6802344E-5	1.9780385E-6	9.2603505E-6	1.0901651E-6	9.4038718E-6	1.107061E-6
6618.75	0.0087990373	0.0019836806	8.9980845E-6	0.0056566048	0.0015087654	0.0086062741	0.0054975588		4.9248629E-5	5.7977435E-6	5.0430975E-5	5.936934E-6	1.6799185E-5	1.9776665E-6	9.2586093E-6	1.0899601E-6	9.4021035E-6	1.1068528E-6
6622.5	0.0086664587	0.0019050918	-7.5687183E-5	0.0055065886	0.0013677476	0.0085917467	0.0054899251		4.9239407E-5	5.7966578E-6	5.0421532E-5	5.9358223E-6	1.6796039E-5	1.9772962E-6	9.2568756E-6	1.089756E-6	9.400343E-6	1.1066456E-6
6626.25	0.0089157757	0.0019581233	-8.4099803E-5	0.0054088584	0.0014223497	0.0085772557	0.0054823093		4.923022E-5	5.7955763E-6	5.0412124E-5	5.9347148E-6	1.6792905E-5	1.9769273E-6	9.2551484E-6	1.0895527E-6	9.398589E-6	1.1064391E-6
6630	0.0082185399	0.0019374378	-2.9018439E-5	0.0053309352	0.0015164593	0.0085628001	0.0054747107		4.9221062E-5	5.7944982E-6	5.0402747E-5	5.9336109E-6	1.6789782E-5	1.9765595E-6	9.2534268E-6	1.08935E-6	9.3968408E-6	1.1062333E-6
6633.75	0.0083447292	0.0018236811	5.340394E-5	0.0053849783	0.0015272146	0.0085483788	0.0054671287		4.9211929E-5	5.7934231E-6	5.0393395E-5	5.9325099E-6	1.6786666E-5	1.9761928E-6	9.2517098E-6	1.0891479E-6	9.3950972E-6	1.106028E-6
6637.5	0.0087193038	0.0019186425	6.8818203E-5	0.0054752276	0.0014772181	0.0085339909	0.0054595628		4.9202815E-5	5.7923501E-6	5.0384062E-5	5.9314112E-6	1.6783557E-5	1.9758268E-6	9.2499964E-6	1.0889462E-6	9.3933572E-6	1.1058232E-6
6641.25	0.0087276898	0.0019510684	-2.4492663E-5	0.0055250644	0.0014254113	0.0085196353	0.0054520122		4.9193715E-5	5.7912788E-6	5.0374743E-5	5.9303141E-6	1.6780453E-5	1.9754613E-6	9.2482856E-6	1.0887448E-6	9.3916198E-6	1.1056187E-6
6645	0.0086398365	0.0018591685	-9.5309775E-6	0.0054417901	0.001386037	0.008505311	0.0054444763		4.9184623E-5	5.7902085E-6	5.0365433E-5	5.9292181E-6	1.6777352E-5	1.9750963E-6	9.2465763E-6	1.0885436E-6	9.3898841E-6	1.1054143E-6
6648.75	0.0085213676	0.0017796213	4.5257542E-5	0.005322709	0.0013873149	0.0084910171	0.0054369545		4.9175534E-5	5.7891385E-6	5.0356126E-5	5.9281225E-6	1.6774252E-5	1.9747313E-6	9.2448677E-6	1.0883424E-6	9.388149E-6	1.1052101E-6
6652.5	0.0087095867	0.0018920735	0.0001398729	0.0052371984	0.0013848656	0.0084767526	0.0054294463		4.9166444E-5	5.7880684E-6	5.0346818E-5	5.9270266E-6	1.6771151E-5	1.9743662E-6	9.2431588E-6	1.0881412E-6	9.3864136E-6	1.1050058E-6
6656.25	0.008862132	0.0020990879	0.00019455493	0.0054034275	0.0014525393	0.0084625164	0.005421951		4.9157346E-5	5.7869974E-6	5.0337502E-5	5.9259299E-6	1.6768047E-5	1.9740009E-6	9.2414484E-6	1.0879399E-6	9.3846768E-6	1.1048013E-6
6660	0.008526559	0.0020240665	7.3583579E-5	0.0054767451	0.0014910617	0.0084483077	0.0054144679		4.9148236E-5	5.7859249E-6	5.0328173E-5	5.9248317E-6	1.676494E-5	1.9736351E-6	9.2397358E-6	1.0877383E-6	9.3829375E-6	1.1045965E-6
6663.75	0.0087223654	0.0017841471	1.5627016E-5	0.0052893513	0.0013856909	0.0084341254	0.0054069966		4.9139108E-5	5.7848503E-6	5.0318826E-5	5.9237313E-6	1.6761826E-5	1.9732685E-6	9.2380197E-6	1.0875362E-6	9.3811949E-6	1.1043914E-6
6667.5	0.009068321	0.0017935713	6.7274114E-5	0.005382396	0.001341152	0.0084199686	0.0053995363		4.9129957E-5	5.783773E-6	5.0309455E-5	5.9226282E-6	1.6758705E-5	1.9729011E-6	9.2362994E-6	1.0873337E-6	9.3794479E-6	1.1041857E-6
6671.25	0.0084655941	0.0018142036	0.00011005601	0.0055083723	0.0013904829	0.0084058363	0.0053920865		4.9120778E-5	5.7826924E-6	5.0300055E-5	5.9215216E-6	1.6755574E-5	1.9725325E-6	9.2345737E-6	1.0871306E-6	9.3776955E-6	1.1039794E-6
6675	0.008306127	0.0017537711	4.7706786E-5	0.0053295242	0.0015409783	0.0083917276	0.0053846466		4.9111565E-5	5.7816079E-6	5.0290622E-5	5.920411E-6	1.6752431E-5	1.9721625E-6	9.2328417E-6	1.0869267E-6	9.3759367E-6	1.1037724E-6
6678.75	0.0085336138	0.0018623631	0.00010651526	0.0052965393	0.0015885788	0.0083776415	0.005377216		4.9102314E-5	5.7805187E-6	5.0281148E-5	5.9192957E-6	1.6749275E-5	1.971791E-6	9.2311025E-6	1.0867219E-6	9.3741705E-6	1.1035644E-6
6682.5	0.0084793045	0.0018723731	4.5284164E-5	0.0051520339	0.0014742897	0.0083635771	0.0053697941		4.9093018E-5	5.7794244E-6	5.0271629E-5	5.9181752E-6	1.6746105E-5	1.9714177E-6	9.2293549E-6	1.0865162E-6	9.3723958E-6	1.1033555E-6
6686.25	0.008412749	0.0018693115	-1.1341288E-5	0.0050958611	0.001459328	0.0083495335	0.0053623803		4.9083673E-5	5.7783243E-6	5.026206E-5	5.9170486E-6	1.6742917E-5	1.9710424E-6	9.2275981E-6	1.0863094E-6	9.3706118E-6	1.1031455E-6
6690	0.0080275255	0.0018424764	6.4771626E-5	0.0054077936	0.0013516944	0.0083355097	0.005354974		4.9074274E-5	5.7772177E-6	5.0252435E-5	5.9159155E-6	1.6739711E-5	1.970665E-6	9.225831E-6	1.0861013E-6	9.3688173E-6	1.1029343E-6
6693.75	0.0080582742	0.0018401336	-2.4758885E-5	0.0054788482	0.0012914217	0.0083215048	0.0053475747		4.9064814E-5	5.7761041E-6	5.0242748E-5	5.9147752E-6	1.6736484E-5	1.9702851E-6	9.2240527E-6	1.085892E-6	9.3670114E-6	1.1027217E-6
