H	Ext	Back	LR	SR	Back_sp	LR_sp	SR_sp	
1177.5	1.8648259E-5	1.4724652E-6	12.664652	2.0104469	1.4423839E-6	12.928777	1.9898043	
1181.25	1.7953831E-5	1.5009555E-6	11.961601	2.0301977	1.4577273E-6	12.316317	2.0005275	
1185	2.5831921E-5	1.4824163E-6	17.425551	2.0176707	1.4741102E-6	17.523738	2.0119685	
1188.75	3.7207706E-5	1.4671729E-6	25.360138	2.0074018	1.493289E-6	24.916614	2.0253339	
1192.5	3.690223E-5	1.4918411E-6	24.736033	2.0245387	1.5139781E-6	24.374348	2.0397416	
1196.25	3.0031476E-5	1.516202E-6	19.807041	2.0414714	1.5360605E-6	19.550971	2.0551121	
1200	3.1569043E-5	1.5393597E-6	20.507905	2.057584	1.5599108E-6	20.237724	2.0717031	
1203.75	3.5237774E-5	1.5766462E-6	22.34983	2.0834117	1.5850071E-6	22.231935	2.089157	
1207.5	3.1707712E-5	1.6110235E-6	19.681719	2.1072501	1.611608E-6	19.674581	2.1076518	
1211.25	2.4622468E-5	1.6223954E-6	15.176613	2.1152832	1.6384039E-6	15.028326	2.126288	
1215	2.2113361E-5	1.6381567E-6	13.498929	2.1263376	1.6663466E-6	13.270565	2.14572	
1218.75	2.5623156E-5	1.6980111E-6	15.090099	2.1677192	1.6971426E-6	15.097821	2.1671219	
1222.5	2.6557276E-5	1.756314E-6	15.12103	2.2080497	1.7286805E-6	15.362744	2.1890426	
1226.25	2.1406303E-5	1.7758442E-6	12.054156	2.2217219	1.7606926E-6	12.157888	2.2112981	
1230	1.9277531E-5	1.7915937E-6	10.75999	2.2327981	1.7945015E-6	10.742555	2.2347989	
1233.75	3.0994004E-5	1.8140839E-6	17.08521	2.2485178	1.8285006E-6	16.950503	2.2584399	
1237.5	5.0232092E-5	1.8557252E-6	27.068713	2.2774269	1.8634866E-6	26.955971	2.2827696	
1241.25	5.6006602E-5	1.9135574E-6	29.268316	2.3174948	1.8989456E-6	29.493525	2.3074346	
1245	5.1260199E-5	1.9398372E-6	26.425	2.3358503	1.9327742E-6	26.521566	2.3309864	
1248.75	4.6139888E-5	1.9570261E-6	23.576531	2.3479513	1.9653807E-6	23.476311	2.3537058	
1252.5	4.0203977E-5	1.9863936E-6	20.239684	2.368447	1.9970791E-6	20.131389	2.3758084	
1256.25	3.9586963E-5	2.0288043E-6	19.51246	2.3979381	2.0269705E-6	19.530113	2.3966746	
1260	4.6041203E-5	2.0672898E-6	22.271286	2.4247355	2.0564023E-6	22.3892	2.4172321	
1263.75	5.2395659E-5	2.0905768E-6	25.062776	2.4410668	2.0859919E-6	25.117864	2.4379063	
1267.5	5.1296917E-5	2.1289558E-6	24.094872	2.4678095	2.1148391E-6	24.255707	2.4580767	
1271.25	4.3224274E-5	2.1615347E-6	19.99703	2.4905628	2.142291E-6	20.176659	2.4772926	
1275	4.264646E-5	2.1746378E-6	19.610834	2.499892	2.1680224E-6	19.670674	2.4953292	
1278.75	5.2974459E-5	2.1985537E-6	24.095141	2.5166838	2.1937684E-6	24.147699	2.5133827	
1282.5	5.823551E-5	2.2155129E-6	26.285341	2.528682	2.2203913E-6	26.227589	2.532048	
1286.25	5.8905772E-5	2.2265247E-6	26.456374	2.5365801	2.2452122E-6	26.236172	2.5494768	
1290	6.11368E-5	2.2775458E-6	26.84328	2.5720978	2.2681354E-6	26.954652	2.5656021	
1293.75	5.9528844E-5	2.3128303E-6	25.738526	2.5967645	2.292848E-6	25.962839	2.5829688	
1297.5	6.4876668E-5	2.3056393E-6	28.138255	2.5921099	2.3175274E-6	27.993917	2.6003189	
1301.25	7.4896282E-5	2.3193248E-6	32.292279	2.6018716	2.3400323E-6	32.006516	2.6161735	
1305	7.9365805E-5	2.3513023E-6	33.753977	2.6242727	2.3616573E-6	33.605979	2.6314259	
1308.75	8.0334151E-5	2.3757487E-6	33.814247	2.6414786	2.3824086E-6	33.71972	2.6460801	
1312.5	8.1012362E-5	2.4154916E-6	33.538665	2.6692615	2.403834E-6	33.701313	2.6612054	
1316.25	8.1778625E-5	2.4444011E-6	33.455485	2.6895665	2.4264809E-6	33.702563	2.6771801	
1320	8.1379697E-5	2.459127E-6	33.092922	2.7000732	2.448682E-6	33.234081	2.6928523	
1323.75	8.3099123E-5	2.4628354E-6	33.741241	2.7029651	2.471408E-6	33.624203	2.7088927	
1327.5	8.9759785E-5	2.471198E-6	36.322377	2.7090763	2.4942314E-6	35.986952	2.7250061	
1331.25	8.9350206E-5	2.5289866E-6	35.330438	2.7493788	2.5185458E-6	35.476904	2.7421565	
1335	8.0483804E-5	2.5694458E-6	31.32341	2.7777066	2.5451998E-6	31.621802	2.7609317	
1338.75	7.3800388E-5	2.559817E-6	28.830337	2.7713842	2.5699936E-6	28.716176	2.7784263	
1342.5	6.7130535E-5	2.5890934E-6	25.928201	2.7919863	2.5934502E-6	25.884644	2.7950017	
1346.25	6.6931088E-5	2.6257798E-6	25.489985	2.8177255	2.6184943E-6	25.560907	2.812682	
1350	6.8131806E-5	2.6061633E-6	26.14257	2.8044906	2.645004E-6	25.758678	2.8313836	
1353.75	5.9736116E-5	2.6360367E-6	22.661337	2.8255234	2.6709435E-6	22.365174	2.8496972	
1357.5	5.5123989E-5	2.6892455E-6	20.497938	2.8627274	2.6935515E-6	20.46517	2.86571	
1361.25	5.5990518E-5	2.7137279E-6	20.632326	2.8800442	2.7149975E-6	20.622677	2.8809238	
1365	5.2932156E-5	2.7497407E-6	19.249872	2.9053573	2.737756E-6	19.33414	2.8970528	
1368.75	5.3774157E-5	2.7728042E-6	19.39342	2.9217054	2.7607748E-6	19.477922	2.9133684	
1372.5	5.5963659E-5	2.7847222E-6	20.096676	2.9303339	2.7844223E-6	20.09884	2.930126	
1376.25	5.6167235E-5	2.8158084E-6	19.947108	2.9522555	2.8080189E-6	20.002442	2.9468549	
1380	5.4360598E-5	2.8461063E-6	19.099988	2.9736391	2.8290266E-6	19.215301	2.9617951	
