H	Ext	Back	LR	SR	
656.25	5.3119928E-5	1.0623986E-6	50	1.7098144	
660	5.2855566E-5	1.0571113E-6	50	1.7064165	
663.75	5.2757816E-5	1.0551563E-6	50	1.7052443	
667.5	5.2840499E-5	1.05681E-6	50	1.7064838	
671.25	5.2962889E-5	1.0592578E-6	50	1.7082545	
675	5.3083694E-5	1.0616739E-6	50	1.7100045	
678.75	5.3041592E-5	1.0608318E-6	50	1.7095756	
682.5	5.2956146E-5	1.0591229E-6	50	1.7085665	
686.25	5.2851153E-5	1.0570231E-6	50	1.7072953	
690	5.2864495E-5	1.0572899E-6	50	1.7076074	
693.75	5.2927616E-5	1.0585523E-6	50	1.708586	
697.5	5.2803858E-5	1.0560772E-6	50	1.7070625	
701.25	5.2637896E-5	1.0527579E-6	50	1.7049732	
705	5.2619815E-5	1.0523963E-6	50	1.704864	
708.75	5.2502867E-5	1.0500573E-6	50	1.7034302	
712.5	5.2196822E-5	1.0439364E-6	50	1.6994618	
716.25	5.2029047E-5	1.0405809E-6	50	1.6973453	
720	5.1850792E-5	1.0370158E-6	50	1.6950875	
723.75	5.1603338E-5	1.0320668E-6	50	1.6919011	
727.5	5.1426511E-5	1.0285302E-6	50	1.6896608	
731.25	5.144858E-5	1.0289716E-6	50	1.6900876	
735	5.1535874E-5	1.0307175E-6	50	1.6913898	
738.75	5.1423751E-5	1.028475E-6	50	1.6900168	
742.5	5.1091254E-5	1.0218251E-6	50	1.6856859	
746.25	5.0966102E-5	1.019322E-6	50	1.6841368	
750	5.0934213E-5	1.0186843E-6	50	1.6838396	
753.75	5.0582015E-5	1.0116403E-6	50	1.6792412	
757.5	5.0374284E-5	1.0074857E-6	50	1.6765817	
761.25	5.0302183E-5	1.0060437E-6	50	1.6757435	
765	5.005404E-5	1.0010808E-6	50	1.6725398	
768.75	4.9780839E-5	9.9561678E-7	50	1.6689984	
772.5	4.949768E-5	9.899536E-7	50	1.665322	
776.25	4.9141169E-5	9.8282339E-7	50	1.6606582	
780	4.8744947E-5	9.7489895E-7	50	1.6554587	
783.75	4.8380805E-5	9.676161E-7	50	1.6506889	
787.5	4.8000034E-5	9.6000068E-7	50	1.6456936	
791.25	4.7548373E-5	9.5096746E-7	50	1.6397426	
795	4.712844E-5	9.4256881E-7	50	1.6342164	
798.75	4.6609542E-5	9.3219084E-7	50	1.627356	
802.5	4.5960988E-5	9.1921975E-7	50	1.6187475	
806.25	4.543589E-5	9.087178E-7	50	1.611798	
810	4.511361E-5	9.022722E-7	50	1.6075773	
813.75	4.4766163E-5	8.9532326E-7	50	1.6030159	
817.5	4.4442515E-5	8.888503E-7	50	1.5987732	
821.25	4.4154915E-5	8.830983E-7	50	1.5950147	
825	4.3662926E-5	8.7325852E-7	50	1.5884998	
828.75	4.2956864E-5	8.5913728E-7	50	1.5790963	
832.5	4.2561737E-5	8.5123475E-7	50	1.5738816	
836.25	4.2243506E-5	8.4487012E-7	50	1.5697017	
840	4.1717852E-5	8.3435705E-7	50	1.5627221	
